date,open,high,low,close,volume
object,float64,float64,float64,float64,int64
2013-05-15 00:00,1.52392,1.5272,1.5173,1.52072,176823
2013-05-16 00:00,1.52072,1.53219,1.5197,1.53034,148360
2013-05-17 00:00,1.53033,1.53112,1.51576,1.51798,162450
2013-05-18 00:00,1.51798,1.51824,1.51597,1.51666,19361
2013-05-20 00:00,1.51871,1.52441,1.51656,1.52393,106018
2013-05-21 00:00,1.52399,1.52808,1.51124,1.51715,161056
2013-05-22 00:00,1.51715,1.51898,1.50194,1.50561,175593
2013-05-23 00:00,1.50561,1.51281,1.50133,1.5117,188910
2013-05-24 00:00,1.51166,1.51424,1.50636,1.5115,146520
2013-05-25 00:00,1.51155,1.51374,1.51148,1.5125,10800
2013-05-27 00:00,1.51318,1.5156,1.50866,1.51033,51895
2013-05-28 00:00,1.51041,1.51345,1.50332,1.50504,123851
2013-05-29 00:00,1.50503,1.51454,1.50077,1.51118,152688
2013-05-30 00:00,1.51123,1.52193,1.51037,1.52055,159346
2013-05-31 00:00,1.52056,1.52394,1.514,1.51736,158474
2013-06-01 00:00,1.51733,1.52058,1.517,1.51972,20006
2013-06-03 00:00,1.52023,1.53754,1.51911,1.53341,122901
2013-06-04 00:00,1.53341,1.53488,1.5273,1.52943,140030
2013-06-05 00:00,1.52943,1.54085,1.5285,1.54002,162731
2013-06-06 00:00,1.54,1.56837,1.53809,1.56176,165449
2013-06-07 00:00,1.56177,1.56234,1.54881,1.55348,189700
2013-06-08 00:00,1.55349,1.55638,1.55324,1.55544,16506
2013-06-10 00:00,1.55219,1.5572,1.54942,1.55618,126378
2013-06-11 00:00,1.55617,1.5647,1.55203,1.55922,171943
2013-06-12 00:00,1.55923,1.56996,1.55898,1.56848,156220
2013-06-13 00:00,1.56846,1.57373,1.56443,1.56892,155965
2013-06-14 00:00,1.56894,1.57246,1.56161,1.56879,149364
2013-06-15 00:00,1.56882,1.57131,1.5688,1.57067,14892
2013-06-17 00:00,1.57248,1.57515,1.56898,1.56937,69548
2013-06-18 00:00,1.56939,1.57381,1.5565,1.56382,91577
2013-06-19 00:00,1.56382,1.56771,1.56035,1.56548,75790
2013-06-20 00:00,1.56549,1.5672,1.54142,1.54827,142347
2013-06-21 00:00,1.54827,1.553,1.5368,1.54295,120391
2013-06-22 00:00,1.54295,1.54555,1.54146,1.5419,12717
2013-06-24 00:00,1.53716,1.54346,1.5343,1.54139,99282
2013-06-25 00:00,1.54139,1.54772,1.53972,1.54258,112819
2013-06-26 00:00,1.54257,1.54401,1.53143,1.5325,98216
2013-06-27 00:00,1.5325,1.53458,1.52015,1.52488,96887
